x	theoretical_speedup	forkjoin_chunk_light	forkjoin_cyclic_light	forkjoin_chunk_heavy	forkjoin_cyclic_heavy
1  	1					0.999560558690581    	0.999504446431821		1.00016484971301		0.999356678900662
2  	2					1.9943992522036    		1.98548774110192		1.99898465845637		1.99838040803834
4  	4 					3.98396654424246		3.96877786318217		3.9958801941329			3.99343464348458
8  	8					7.87028625430601		7.86177809583264		7.96229785551587		7.97326812018216
16	16					11.0182663992147		9.78320512334685		15.4218502281223		15.3334770516943
