x	theoretical_speedup	forkjoin_chunk_light	forkjoin_cyclic_light	forkjoin_chunk_heavy	forkjoin_cyclic_heavy
1	1					1.0006686137215			1.00080632343649		1.00015866562113		0.999681225370473
2	2					1.98191344400729		1.98348180501615		1.99869861964			1.99906156028957
4	4					3.97540863700407		3.96789339808959		3.99325337510422		3.99505565968024
8	8					7.6762904376784			7.76296363116985		7.96199443476328		7.97084738111247
16	16					10.7590589902273		10.6170295889622		15.2361975166848		15.2152781359897

